Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
552,Body builder – fitness; Sportsperson – other Office managers and,Female,78,"48,432",,,,
489,Body builder – fitness; Sportsperson – other Office managers and,Male,232,"65,770",,,,
145,Boiler attendant; Engine or boiler operator,Female,11,"78,548",,,,
332,Boiler attendant; Engine or boiler operator,Male,983,"77,891",,,,
585,Boilermaker; Fabricator – door or window – metal; Metal fabricator,Female,246,"46,933",,,,
344,Boilermaker; Fabricator – door or window – metal; Metal fabricator,Male,"47,845","77,010",,,,
802,Book binder; Print finisher,Female,787,"35,901",,,,
643,Book binder; Print finisher,Male,"1,662","54,479",,,,
430,Book editor; Script editor,Female,"1,236","55,052",,,,
553,Book editor; Script editor,Male,355,"61,521",,,,
607,Bookkeeper; Registrar – school,Female,"35,447","45,248",,,,
879,Bookkeeper; Registrar – school,Male,"2,788","41,004",,,,
817,Bookmaker,Female,48,"34,994",,,,
270,Bookmaker,Male,261,"84,504",,,,
976,Bookmaker’s clerk,Female,96,"28,660",,,,
918,Bookmaker’s clerk,Male,206,"37,981",,,,
356,Botanist,Female,241,"59,520",,,,
337,Botanist,Male,254,"77,383",,,,
990,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen,Female,"191,711","27,979",,,,
1021,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen,Male,"83,084","30,540",,,,
925,Bouncer; Crowd controller,Female,425,"31,268",,,,
995,Bouncer; Crowd controller,Male,"3,878","33,116",,,,
302,Boxer – sports,Male,13,"81,041",,,,
560,Brewery worker,Female,163,"48,068",,,,
421,Brewery worker,Male,"1,169","71,243",,,,
968,Brick handler – brickworks; Kiln hand or labourer,Female,87,"29,114",,,,
775,Brick handler – brickworks; Kiln hand or labourer,Male,"1,244","47,207",,,,
1058,Bricklayer,Female,14,"23,699",,,,
735,Bricklayer,Male,"7,999","48,978",,,,
651,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant,Female,749,"43,213",,,,
723,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant,Male,"45,001","49,625",,,,
405,Broadcast transmitter operator,Female,81,"56,616",,,,
412,Broadcast transmitter operator,Male,310,"71,966",,,,
312,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager,Female,367,"61,563",,,,
444,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager,Male,753,"69,249",,,,
189,Builder – professional; Project builder,Female,734,"73,029",,,,
377,Builder – professional; Project builder,Male,"11,490","74,225",,,,
245,Building construction supervisor,Female,387,"66,628",,,,
197,Building construction supervisor,Male,"19,067","94,463",,,,
307,Building inspector,Female,258,"61,917",,,,
316,Building inspector,Male,"2,683","79,502",,,,
287,Building insulation installer,Female,18,"63,913",,,,
662,Building insulation installer,Male,"1,861","53,280",,,,
149,Bulk materials handling plant operator,Female,376,"78,272",,,,
235,Bulk materials handling plant operator,Male,"4,762","88,237",,,,
81,Bulldozer operator,Female,6,"94,739",,,,
328,Bulldozer operator,Male,517,"78,262",,,,
977,Bungy jump master,Male,9,"34,164",,,,
462,Bus conductor; Train conductor; Tram conductor; Transport conductor,Female,435,"52,830",,,,
393,Bus conductor; Train conductor; Tram conductor; Transport conductor,Male,"1,222","73,192",,,,
658,Bus driver,Female,"4,259","42,859",,,,
684,Bus driver,Male,"30,436","51,917",,,,
408,Bus inspector; Traffic inspector; Transport operations inspector,Female,380,"56,451",,,,
342,Bus inspector; Traffic inspector; Transport operations inspector,Male,"2,145","77,050",,,,
118,Business analyst,Female,"14,743","82,733",,,,
156,Business analyst,Male,"18,002","100,477",,,,
532,Business broker; Retail assistant – business broker; Salesperson – business broker,Female,290,"49,417",,,,
431,Business broker; Retail assistant – business broker; Salesperson – business broker,Male,466,"70,588",,,,
412,Business development officer – loans; Credit and loans officer,Female,"5,474","56,274",,,,
395,Business development officer – loans; Credit and loans officer,Male,"3,737","73,114",,,,
358,Business development officer – marketing; Marketing specialist,Female,"17,344","59,466",,,,
265,Business development officer – marketing; Marketing specialist,Male,"11,449","84,844",,,,
788,Butcher; Smallgoods maker,Female,867,"36,630",,,,
772,Butcher; Smallgoods maker,Male,"15,921","47,438",,,,
739,Butler,Female,35,"39,013",,,,
756,Butler,Male,144,"47,924",,,,
209,Buyer – retail goods; Company rep. – retail buying,Female,"2,495","70,710",,,,
192,Buyer – retail goods; Company rep. – retail buying,Male,"1,445","95,527",,,,
1027,Cab driver; Taxi driver,Female,191,"25,854",,,,
1084,Cab driver; Taxi driver,Male,"2,056","24,294",,,,
736,Cabinet maker; Furniture maker,Female,264,"39,068",,,,
763,Cabinet maker; Furniture maker,Male,"17,701","47,808",,,,
748,Café manager; Canteen manager; Caterer; Restaurant manager,Female,"28,659","38,650",,,,
777,Café manager; Canteen manager; Caterer; Restaurant manager,Male,"19,958","47,168",,,,
1062,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant,Female,"23,016","23,241",,,,
1091,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant,Male,"5,651","23,669",,,,
864,Cake decorator; Pastry cook,Female,"2,534","33,436",,,,
841,Cake decorator; Pastry cook,Male,"2,597","43,183",,,,
266,Call centre manager; Contact centre manager,Female,"2,222","64,885",,,,
370,Call centre manager; Contact centre manager,Male,"1,746","74,725",,,,
872,Call centre operator – betting; Contact centre operator – betting,Female,216,"33,103",,,,
912,Call centre operator – betting; Contact centre operator – betting,Male,167,"38,328",,,,
659,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads,Female,412,"42,830",,,,
768,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads,Male,96,"47,696",,,,
730,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other,Female,"19,043","39,454",,,,
892,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other,Male,"10,333","40,174",,,,
1011,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer,Female,"5,049","26,498",,,,
1062,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer,Male,"3,154","27,078",,,,
377,Call centre team leader; Contact centre team leader,Female,"2,340","58,375",,,,
499,Call centre team leader; Contact centre team leader,Male,"1,530","65,255",,,,
633,"Camera operator – film, television or video; Motion picture camera operator",Female,164,"43,883",,,,
551,"Camera operator – film, television or video; Motion picture camera operator",Male,"1,881","61,667",,,,
779,Camera repairer,Female,6,"37,126",,,,
674,Camera repairer,Male,60,"52,637",,,,
1073,Cane cutter,Female,618,"22,071",,,,
973,Cane cutter,Male,"1,842","34,316",,,,
1071,Cane furniture maker; Cooper; Model maker – wood; Wood carver,Female,14,"22,160",,,,
778,Cane furniture maker; Cooper; Model maker – wood; Wood carver,Male,83,"47,006",,,,
792,Canvas goods maker,Female,53,"36,513",,,,
751,Canvas goods maker,Male,229,"48,093",,,,
937,Car detailer; Car wash attendant; Detailer – vehicle,Female,"1,529","30,690",,,,
1012,Car detailer; Car wash attendant; Detailer – vehicle,Male,"10,953","31,609",,,,
869,Car park attendant,Female,271,"33,232",,,,
946,Car park attendant,Male,"1,643","36,082",,,,
407,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson,Female,"1,265","56,461",,,,
394,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson,Male,"10,298","73,146",,,,
645,Caravan park manager,Female,"1,188","43,343",,,,
696,Caravan park manager,Male,"1,284","51,116",,,,
361,Cardiac technician,Female,684,"59,408",,,,
289,Cardiac technician,Male,350,"82,273",,,,
11,Cardiologist,Female,151,"215,920",,,,
3,Cardiologist,Male,651,"453,253",,,,
20,Cardiothoracic surgeon,Female,11,"175,500",,,,
15,Cardiothoracic surgeon,Male,134,"358,043",,,,
442,Careers adviser; Careers counsellor,Female,"1,371","54,113",,,,
527,Careers adviser; Careers counsellor,Male,436,"63,451",,,,
888,Caretaker; Janitor,Female,"1,021","32,619",,,,
877,Caretaker; Janitor,Male,"2,747","41,065",,,,
706,Carpenter,Female,127,"40,726",,,,
581,Carpenter,Male,"52,178","59,381",,,,
797,Carpenter and joiner; Shop fitter,Female,142,"36,209",,,,
578,Carpenter and joiner; Shop fitter,Male,"17,158","59,651",,,,
1026,Carpet cleaner,Female,343,"25,890",,,,
964,Carpet cleaner,Male,"1,016","35,101",,,,
889,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork",Female,55,"32,544",,,,
786,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork",Male,"3,414","46,625",,,,
289,Cartographer,Female,337,"63,610",,,,
304,Cartographer,Male,764,"80,842",,,,
897,Cash van salesperson,Female,89,"32,300",,,,
789,Cash van salesperson,Male,358,"46,490",,,,
1065,Cashier; Casino worker – cashier or cage supervisor,Female,"50,688","23,007",,,,
1093,Cashier; Casino worker – cashier or cage supervisor,Male,"15,027","23,292",,,,
915,Casino worker – host; Hospitality employee – other,Female,"18,233","31,639",,,,
953,Casino worker – host; Hospitality employee – other,Male,"10,604","35,880",,,,
520,Casino worker – surveillance officer; Security guard – other security officer or guard,Female,487,"49,998",,,,
673,Casino worker – surveillance officer; Security guard – other security officer or guard,Male,"2,419","52,653",,,,
317,Casting director,Female,80,"61,291",,,,
556,Casting director,Male,23,"60,972",,,,
940,Cellarhand – winery; Winery cellarhand,Female,"1,038","30,567",,,,
842,Cellarhand – winery; Winery cellarhand,Male,"3,068","43,114",,,,
540,Cement plant hand or labourer,Female,54,"48,945",,,,
644,Cement plant hand or labourer,Male,"3,369","54,445",,,,
435,Cement production plant operator,Female,15,"54,927",,,,
294,Cement production plant operator,Male,554,"81,826",,,,
1046,Cement renderer; Concrete plasterer,Female,12,"24,677",,,,
598,Cement renderer; Concrete plasterer,Male,"2,684","57,584",,,,
574,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist,Female,"1,033","47,277",,,,
621,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist,Male,917,"55,833",,,,
247,Change management facilitator; Industry analyst; Quality auditor; Skills auditor,Female,"2,958","66,394",,,,
309,Change management facilitator; Industry analyst; Quality auditor; Skills auditor,Male,"3,303","80,112",,,,
1016,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader,Female,"4,368","26,331",,,,
1016,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader,Male,"12,267","31,441",,,,
846,Charter bus driver; Tour bus driver,Female,97,"34,075",,,,
869,Charter bus driver; Tour bus driver,Male,807,"41,610",,,,
916,Chauffeur; Hire car driver,Female,261,"31,589",,,,
856,Chauffeur; Hire car driver,Male,"1,601","42,320",,,,
1045,Checkout operator; Console operator – service station,Female,"39,653","24,688",,,,
1072,Checkout operator; Console operator – service station,Male,"14,933","25,688",,,,
687,Cheesemaker; Dairy products maker,Female,"1,326","41,458",,,,
583,Cheesemaker; Dairy products maker,Male,"3,091","59,305",,,,
782,Chef,Female,"20,384","36,804",,,,
835,Chef,Male,"63,965","43,672",,,,
86,Chemical engineer,Female,"1,663","93,125",,,,
79,Chemical engineer,Male,"4,751","128,289",,,,
652,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer,Female,536,"43,131",,,,
514,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer,Male,"4,770","64,450",,,,
173,Chemical plant operator; Paint maker,Female,272,"74,644",,,,
193,Chemical plant operator; Paint maker,Male,"4,964","94,896",,,,
473,Chemical production machine operator,Female,309,"52,298",,,,
459,Chemical production machine operator,Male,"1,544","67,620",,,,
254,Chemist – industrial or research,Female,"3,618","65,835",,,,
243,Chemist – industrial or research,Male,"4,869","87,628",,,,
951,Chemist shop assistant; Pharmacy assistant,Female,"31,601","29,987",,,,
1042,Chemist shop assistant; Pharmacy assistant,Male,"2,916","29,095",,,,
528,Chemistry technician,Female,"3,091","49,659",,,,
547,Chemistry technician,Male,"2,597","61,959",,,,
48,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary,Female,"41,895","116,855",,,,
49,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary,Male,"111,813","181,849",,,,
75,Chief information officer; IT professional – chief information officer,Female,"1,290","98,194",,,,
80,Chief information officer; IT professional – chief information officer,Male,"5,457","127,694",,,,
919,Child care aide or worker; Creche attendant,Female,"90,620","31,428",,,,
1033,Child care aide or worker; Creche attendant,Male,"2,709","29,696",,,,
418,Child care centre director,Female,"7,922","55,902",,,,
268,Child care centre director,Male,398,"84,538",,,,
991,Child care worker – out of school hours care,Female,"4,439","27,884",,,,
1090,Child care worker – out of school hours care,Male,821,"23,700",,,,
980,Child minder; Governess – child care; Nanny,Female,"4,469","28,402",,,,
1006,Child minder; Governess – child care; Nanny,Male,183,"32,001",,,,
819,Child or youth residential care assistant,Female,"2,028","34,940",,,,
884,Child or youth residential care assistant,Male,522,"40,692",,,,
909,Chimney sweep; Cleaner – other; Detailer – aircraft,Female,"20,543","31,877",,,,
949,Chimney sweep; Cleaner – other; Detailer – aircraft,Male,"13,159","35,965",,,,
760,Chinese medicine practitioner,Female,78,"38,171",,,,
795,Chinese medicine practitioner,Male,68,"46,044",,,,
370,Chiropractor,Female,871,"58,838",,,,
366,Chiropractor,Male,"1,229","74,993",,,,
962,Chocolate packer,Female,794,"29,254",,,,
1028,Chocolate packer,Male,353,"29,866",,,,
911,Choreographer; Dancer; Stripper – entertainment,Female,609,"31,840",,,,
940,Choreographer; Dancer; Stripper – entertainment,Male,336,"36,404",,,,
1079,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher,Female,"1,082","21,080",,,,
1076,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher,Male,"1,346","25,390",,,,
625,Cinema manager; Theatre manager,Female,671,"44,289",,,,
688,Cinema manager; Theatre manager,Male,685,"51,783",,,,
835,Circus performer; Comedian; Entertainer; Performing artist; Variety artist,Female,"2,017","34,493",,,,
579,Circus performer; Comedian; Entertainer; Performing artist; Variety artist,Male,"1,904","59,643",,,,
1031,Civil celebrant,Female,44,"25,447",,,,
658,Civil celebrant,Male,28,"53,778",,,,
153,Civil engineer,Female,"3,568","77,775",,,,
100,Civil engineer,Male,"29,314","115,275",,,,
447,Civil engineering draftsperson; Structural draftsperson,Female,"1,059","53,707",,,,
402,Civil engineering draftsperson; Structural draftsperson,Male,"5,785","72,624",,,,
328,Civil engineering technician or associate,Female,166,"60,870",,,,
271,Civil engineering technician or associate,Male,"2,135","84,075",,,,
402,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk,Female,"12,747","56,964",,,,
340,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk,Male,"7,692","77,192",,,,
914,Classer – fruit and vegetable; Egg grader; Product grader,Female,672,"31,682",,,,
863,Classer – fruit and vegetable; Egg grader; Product grader,Male,356,"41,984",,,,
965,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner,Female,"62,281","29,162",,,,
989,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner,Male,"35,705","33,434",,,,
1043,Cleaner – domestic,Female,"9,105","24,747",,,,
1040,Cleaner – domestic,Male,"1,690","29,190",,,,
594,Clerk – other; Coding clerk; Exam supervisor,Female,"26,526","46,693",,,,
743,Clerk – other; Coding clerk; Exam supervisor,Male,"6,852","48,591",,,,
511,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists,Female,"6,777","50,442",,,,
765,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists,Male,423,"47,746",,,,
424,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg,Female,984,"55,536",,,,
396,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg,Male,500,"73,087",,,,
567,Client service manager; Customer service manager,Female,"57,577","47,519",,,,
573,Client service manager; Customer service manager,Male,"31,066","59,947",,,,
516,Clinical coder,Female,558,"50,075",,,,
572,Clinical coder,Male,70,"59,996",,,,
31,Clinical haematologist,Female,118,"147,970",,,,
29,Clinical haematologist,Male,141,"271,738",,,,
260,Clinical psychologist,Female,"4,069","65,548",,,,
287,Clinical psychologist,Male,"1,019","82,399",,,,
712,Clock and watch maker and repairer,Female,34,"40,576",,,,
701,Clock and watch maker and repairer,Male,301,"50,734",,,,
959,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer,Female,"3,437","29,598",,,,
978,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer,Male,"4,360","34,162",,,,
334,Clothing designer; Fashion designer,Female,"3,313","60,543",,,,
371,Clothing designer; Fashion designer,Male,445,"74,687",,,,
550,Clothing pattern maker; Patternmaker-grader – textiles,Female,555,"48,465",,,,
636,Clothing pattern maker; Patternmaker-grader – textiles,Male,130,"54,780",,,,
406,Club licensee; Club manager – licensed club,Female,"1,134","56,472",,,,
398,Club licensee; Club manager – licensed club,Male,"2,428","72,999",,,,
650,Coach driver; Passenger coach driver,Female,122,"43,243",,,,
739,Coach driver; Passenger coach driver,Male,"1,580","48,694",,,,
87,Coal miner; Miner; Mining technician; Opal miner; Prospector,Female,"2,482","91,926",,,,
96,Coal miner; Miner; Mining technician; Opal miner; Prospector,Male,"36,613","118,162",,,,
583,Commercial artist; Graphic designer,Female,"13,436","47,046",,,,
594,Commercial artist; Graphic designer,Male,"12,316","57,911",,,,
536,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re,Female,"32,055","49,168",,,,
473,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re,Male,"43,349","66,471",,,,
92,Commissioned policy officer; Police inspector,Female,336,"90,810",,,,
92,Commissioned policy officer; Police inspector,Male,"1,603","119,385",,,,
148,Commissioner fire officer; Fire investigator,Female,36,"78,308",,,,
175,Commissioner fire officer; Fire investigator,Male,574,"97,844",,,,
151,Commodities broker,Female,343,"78,191",,,,
69,Commodities broker,Male,743,"136,457",,,,
439,Communications equipment tradesperson; Telecommunications cable jointer or repairer,Female,57,"54,691",,,,
376,Communications equipment tradesperson; Telecommunications cable jointer or repairer,Male,"2,321","74,338",,,,
426,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers,Female,353,"55,282",,,,
374,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers,Male,"8,751","74,450",,,,
234,Communications officer – public relations; Media officer; Public relations officer,Female,"11,624","68,094",,,,
282,Communications officer – public relations; Media officer; Public relations officer,Male,"4,224","83,056",,,,
296,Communications operator,Female,709,"62,754",,,,
326,Communications operator,Male,679,"78,575",,,,
778,Community arts worker,Female,302,"37,126",,,,
922,Community arts worker,Male,94,"37,754",,,,
784,Community support worker,Female,"22,421","36,799",,,,
896,Community support worker,Male,"7,883","39,972",,,,
475,Company rep. – industrial; Sales representative – industrial products,Female,"2,148","52,214",,,,
437,Company rep. – industrial; Sales representative – industrial products,Male,"9,932","69,902",,,,
495,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance,Female,"4,453","51,379",,,,
260,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance,Male,"3,953","85,506",,,,
129,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products,Female,"4,221","80,430",,,,
168,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products,Male,"2,846","98,998",,,,
372,Company rep. – real estate; Real estate salesperson,Female,"5,257","58,777",,,,
329,Company rep. – real estate; Real estate salesperson,Male,"6,561","78,187",,,,
51,Company secretary – corporate governance,Female,"1,837","107,786",,,,
43,Company secretary – corporate governance,Male,"1,088","218,432",,,,
259,Compliance officer – quarantine; Quarantine inspector,Female,"1,251","65,567",,,,
324,Compliance officer – quarantine; Quarantine inspector,Male,"1,673","78,712",,,,
537,Composer,Female,56,"49,129",,,,
464,Composer,Male,205,"67,273",,,,
527,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter,Female,872,"49,699",,,,
546,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter,Male,"1,516","62,103",,,,
111,Computer network and systems engineer,Female,773,"84,510",,,,
189,Computer network and systems engineer,Male,"10,687","96,149",,,,
292,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs,Female,"1,874","63,236",,,,
456,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs,Male,"20,810","67,903",,,,
210,Computer systems administrator,Female,"4,893","70,660",,,,
209,Computer systems administrator,Male,"14,089","93,186",,,,
115,Computing professional – other support technicians,Female,418,"83,411",,,,
166,Computing professional – other support technicians,Male,"1,724","99,128",,,,
90,Computing systems analyst; Methods analyst – computing,Female,"3,005","91,303",,,,
134,Computing systems analyst; Methods analyst – computing,Male,"8,579","105,332",,,,
640,Concierge – hotel; Hotel service manager,Female,"1,827","43,593",,,,
781,Concierge – hotel; Hotel service manager,Male,"2,608","46,912",,,,
188,Concrete batching plant operator,Female,27,"73,178",,,,
341,Concrete batching plant operator,Male,"1,255","77,066",,,,
222,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general,Female,"4,179","68,747",,,,
544,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general,Male,"143,209","62,350",,,,
437,Concrete products machine operator,Female,78,"54,778",,,,
440,Concrete products machine operator,Male,"2,224","69,533",,,,
638,Concrete pump operator,Female,5,"43,610",,,,
428,Concrete pump operator,Male,"1,355","70,738",,,,
661,Concrete worker,Female,76,"42,801",,,,
554,Concrete worker,Male,"19,575","61,394",,,,
434,Conductor – music; Music director,Female,202,"54,983",,,,
560,Conductor – music; Music director,Male,333,"60,637",,,,
589,Confectioner,Female,901,"46,878",,,,
558,Confectioner,Male,"1,064","60,744",,,,
553,Conference and event organiser; Functions coordinator,Female,"6,839","48,424",,,,
604,Conference and event organiser; Functions coordinator,Male,"1,708","56,998",,,,
454,Conservation officer,Female,476,"53,178",,,,
570,Conservation officer,Male,678,"60,007",,,,
357,Conservator,Female,260,"59,474",,,,
426,Conservator,Male,109,"70,913",,,,
403,Construction estimator,Female,565,"56,844",,,,
311,Construction estimator,Male,"4,039","79,976",,,,
112,Construction project manager; Building and contruction manager,Female,"2,580","84,450",,,,
129,Construction project manager; Building and contruction manager,Male,"38,985","106,796",,,,
138,Consultant – chemical or material engineer,Female,39,"79,791",,,,
142,Consultant – chemical or material engineer,Male,192,"103,886",,,,
130,Consultant – civil engineer,Female,61,"80,359",,,,
72,Consultant – civil engineer,Male,491,"133,306",,,,
239,Consultant – clinical nurse,Female,360,"67,129",,,,
330,Consultant – clinical nurse,Male,63,"77,977",,,,
230,Consultant – construction manager,Female,156,"68,277",,,,
115,Consultant – construction manager,Male,948,"109,670",,,,
233,Consultant – electrical engineer,Female,24,"68,126",,,,
102,Consultant – electrical engineer,Male,342,"114,264",,,,
613,Consultant – electronics engineer,Female,8,"44,893",,,,
153,Consultant – electronics engineer,Male,161,"100,716",,,,
84,Consultant – engineering Consultant – other,Female,354,"93,445",,,,
95,Consultant – engineering Consultant – other,Male,"2,981","118,494",,,,
281,Consultant – environmental,Female,694,"64,192",,,,
305,Consultant – environmental,Male,"1,025","80,818",,,,
116,Consultant – financial investment,Female,958,"83,026",,,,
59,Consultant – financial investment,Male,"1,737","151,599",,,,
192,Consultant – human resources,Female,"3,500","72,877",,,,
254,Consultant – human resources,Male,"1,423","86,240",,,,
213,Consultant – industrial or mechanical engineer,Female,17,"70,432",,,,
164,Consultant – industrial or mechanical engineer,Male,281,"99,222",,,,
482,Consultant – insurance (clerical),Female,610,"52,016",,,,
504,Consultant – insurance (clerical),Male,259,"65,080",,,,
96,Consultant – IT business analyst Apprentice or trainee,Female,"3,084","88,972",,,,
114,Consultant – IT business analyst Apprentice or trainee,Male,"10,916","109,728",,,,
85,Consultant – management,Female,"6,398","93,425",,,,
77,Consultant – management,Male,"11,557","130,277",,,,
340,Consultant – marketing specialist,Female,"1,920","60,268",,,,
318,Consultant – marketing specialist,Male,"1,285","79,397",,,,
197,Consultant – medical,Female,477,"72,091",,,,
85,Consultant – medical,Male,289,"124,455",,,,
125,Consultant – medical and pharmaceutical products sales representative,Female,225,"80,916",,,,
93,Consultant – medical and pharmaceutical products sales representative,Male,167,"118,777",,,,
80,Consultant – mining engineer,Female,49,"95,151",,,,
52,Consultant – mining engineer,Male,441,"169,818",,,,
199,Consultant – occupational health and safety,Female,697,"71,718",,,,
157,Consultant – occupational health and safety,Male,"1,088","100,464",,,,
179,Consultant – public relations professional,Female,606,"73,889",,,,
169,Consultant – public relations professional,Male,376,"98,938",,,,
503,Consultant – recruitment,Female,"1,116","50,857",,,,
400,Consultant – recruitment,Male,612,"72,857",,,,
316,Consultant – security,Female,58,"61,343",,,,
273,Consultant – security,Male,339,"84,009",,,,
318,Consultant – tax accountant,Female,642,"61,239",,,,
357,Consultant – tax accountant,Male,805,"75,854",,,,
603,Consultant – travel,Female,"1,370","45,917",,,,
652,Consultant – travel,Male,338,"54,027",,,,
124,Consultant – urban and regional planner,Female,149,"80,921",,,,
146,Consultant – urban and regional planner,Male,219,"103,201",,,,
814,Consultant – weight loss,Female,144,"35,198",,,,
557,Consultant – weight loss,Male,16,"60,921",,,,
299,Consultant – workplace relations,Female,423,"62,674",,,,
365,Consultant – workplace relations,Male,311,"75,024",,,,
934,Container filler,Female,156,"30,904",,,,
950,Container filler,Male,414,"35,926",,,,
502,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser,Female,101,"50,883",,,,
471,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser,Male,164,"66,538",,,,
257,Contract administrator,Female,"5,508","65,765",,,,
211,Contract administrator,Male,"4,955","92,471",,,,
486,Conveyancer,Female,"2,006","51,831",,,,
475,Conveyancer,Male,313,"66,351",,,,
927,Cook Skilled animal and,Female,"17,541","31,169",,,,
994,Cook Skilled animal and,Male,"16,295","33,148",,,,
655,Coppersmith; Sheetmetal trades worker,Female,64,"43,009",,,,
561,Coppersmith; Sheetmetal trades worker,Male,"9,283","60,472",,,,
508,Copywriter,Female,652,"50,496",,,,
422,Copywriter,Male,586,"71,175",,,,
141,Corporate general manager,Female,"68,481","79,406",,,,
88,Corporate general manager,Male,"136,047","122,695",,,,
97,Corporate services manager,Female,"4,370","88,877",,,,
87,Corporate services manager,Male,"5,299","123,449",,,,
52,Corporate treasurer; Financial risk analyst; Financial risk manager,Female,"1,494","107,152",,,,
55,Corporate treasurer; Financial risk analyst; Financial risk manager,Male,"2,490","165,178",,,,
271,Cost clerk,Female,518,"64,768",,,,
496,Cost clerk,Male,593,"65,329",,,,
