Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
315,Aircraft maintenance engineer – structures,Female,13,"61,406",,,,
286,Aircraft maintenance engineer – structures,Male,824,"82,412",,,,
158,Aircraft refueller,Female,13,"77,366",,,,
372,Aircraft refueller,Male,592,"74,664",,,,
547,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft,Female,"1,175","48,511",,,,
642,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft,Male,"5,851","54,497",,,,
723,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;,Female,"6,090","39,847",,,,
762,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;,Male,"2,039","47,823",,,,
506,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Female,"4,801","50,638",,,,
525,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Male,"8,180","63,535",,,,
529,Airline steward; Flight attendant or steward,Female,"8,254","49,474",,,,
503,Airline steward; Flight attendant or steward,Male,"3,216","65,113",,,,
523,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer,Female,100,"49,801",,,,
468,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer,Male,"2,292","66,934",,,,
458,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Female,390,"52,933",,,,
347,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Male,774,"76,755",,,,
291,Ambulance officer; Paramedic,Female,"5,128","63,265",,,,
314,Ambulance officer; Paramedic,Male,"9,730","79,711",,,,
635,Amusement centre manager,Female,197,"43,778",,,,
715,Amusement centre manager,Male,256,"50,039",,,,
535,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood,Female,"3,838","49,195",,,,
470,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood,Male,"27,601","66,691",,,,
416,Anaesthetic technician,Female,367,"56,084",,,,
472,Anaesthetic technician,Male,336,"66,535",,,,
9,Anaesthetist,Female,945,"243,582",,,,
14,Anaesthetist,Male,"2,160","370,492",,,,
108,Analyst programmer,Female,"1,635","85,169",,,,
161,Analyst programmer,Male,"4,828","99,377",,,,
908,Animal attendant; Animal trainer (not dog or horse),Female,"2,803","31,904",,,,
867,Animal attendant; Animal trainer (not dog or horse),Male,901,"41,877",,,,
